,ogbg-molbace,ogbg-molbbbp,ogbg-molclintox,ogbg-molmuv,ogbg-molpcba,ogbg-molsider,ogbg-moltox21,ogbg-moltoxcast,ogbg-molhiv,ogbg-molesol,ogbg-molfreesolv,ogbg-mollipo,ogbg-molchembl
add_inverse_edge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
additional edge files,None,None,None,None,None,None,None,None,None,None,None,None,None
additional node files,None,None,None,None,None,None,None,None,None,None,None,None,None
data type,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol
download_name,bace,bbbp,clintox,muv,pcba,sider,tox21,toxcast,hiv,esol,freesolv,lipophilicity,chembl
eval metric,rocauc,rocauc,rocauc,ap,ap,rocauc,rocauc,rocauc,rocauc,rmse,rmse,rmse,rocauc
has_edge_attr,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
has_node_attr,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
num classes,2,2,2,2,2,2,2,2,2,-1,-1,-1,2
num tasks,1,1,2,17,128,27,12,617,1,1,1,1,1310
split,scaffold,scaffold,scaffold,scaffold,scaffold,scaffold,scaffold,scaffold,scaffold,scaffold,scaffold,scaffold,scaffold
task type,binary classification,binary classification,binary classification,binary classification,binary classification,binary classification,binary classification,binary classification,binary classification,regression,regression,regression,binary classification
url,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/bace.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/bbbp.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/clintox.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/muv.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/pcba.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/sider.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/tox21.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/toxcast.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/hiv.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/esol.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/freesolv.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/lipophilicity.zip,https://snap.stanford.edu/ogb/data/graphproppred/csv_mol_download/chembl.zip
version,1,1,1,1,1,1,1,1,1,1,1,1,1
